LicenseID,License Type,Name of Program,County,Capacity,Ages Served/FCC Classification,Initial Effective Date,StateAsOfDate,License State,Year
1077959,Child Care Center,St Casimirs Early Childhood Program,Faribault,20,"Preschool, ",1/4/2016,1/4/2016,Active,2018
1077975,Child Care Center,Whittier Wildflowers Preschool,Hennepin,44,"Toddler, Preschool, ",9/1/2015,2/24/2016,Active,2018
1077990,Child Care Center,Montessori Learning LLC,Nicollet,48,"Preschool, School Age",11/9/2015,11/9/2015,Active,2018
1078037,Child Care Center,Child Care Development Center,Stearns,88,"Infant, Toddler, Preschool, School Age",12/15/2015,12/15/2015,Active,2018
1078046,Child Care Center,Magical Minds Childcare & Learning Center,Washington,68,"Infant, Toddler, Preschool, ",8/3/2015,5/22/2017,Active,2018
1078060,Child Care Center,Hopkins Montessori,Hennepin,30,"Toddler, Preschool, ",7/13/2015,7/13/2015,Active,2018
1078197,Child Care Center,Next Best Thing to Grandma,Chisago,99,"Infant, Toddler, Preschool, School Age",1/1/2016,1/1/2016,Active,2018
1078201,Child Care Center,Lil Newtons Nest,Hennepin,114,"Infant, Toddler, Preschool, School Age",9/1/2015,9/1/2015,Active,2018
1078206,Child Care Center,Little Friends Montessori School LLC,Sherburne,10,"Preschool, School Age",9/1/2015,5/25/2018,Closed,2018
1078233,Child Care Center,Goddard School (The),Dakota,144,"Infant, Toddler, Preschool, School Age",11/20/2015,11/20/2015,Active,2018
1078238,Child Care Center,Quickstart Early Learning Center Inc,Hennepin,112,"Infant, Toddler, Preschool, School Age",9/18/2015,9/23/2018,Closed,2018
1078301,Child Care Center,La Creche II Early Childhood Centers Inc,Hennepin,32,"Infant, Toddler, ",1/25/2016,1/25/2016,Active,2018
1078336,Child Care Center,Crystals Cuddle Bugs Childcare Center,Dakota,116,"Infant, Toddler, Preschool, School Age",8/31/2015,8/31/2015,Active,2018
1078360,Child Care Center,Cradle Club (The),Hennepin,187,"Infant, Toddler, Preschool, School Age",8/24/2015,8/24/2015,Active,2018
1078386,Child Care Center,Our Lady of Peace Early Learning Program,Hennepin,60,"Preschool, ",1/1/2016,1/1/2016,Active,2018
1078473,Child Care Center,Childrens Corner Pelican Rapids,Otter Tail,36,"Infant, Toddler, Preschool, ",1/4/2016,10/13/2017,Active,2018
1078520,Child Care Center,Family First Choice Child Care Inc,Hennepin,78,"Infant, Toddler, Preschool, School Age",9/15/2015,9/15/2015,Active,2018
1078542,Child Care Center,Star Child Development Center LLC,Hennepin,90,"Infant, Toddler, Preschool, School Age",10/26/2015,10/26/2015,Active,2018
