school_district,school_name,K_enroll,MMR_pct_vac,MMR_pct_nodoses,MMR_pct_nonmedical,MMR_pct_medical,notes
PIERZ,HOLY TRINITY,17,0.8824,0.0588,0.0588,0.0000,
WRENSHALL,WRENSHALL EL.,34,0.8824,0.0294,0.0882,0.0000,
CHISHOLM,VAUGHAN EL.,43,0.8837,0.0930,0.0233,0.0000,
MOORHEAD,ELLEN HOPKINS ELEMENTARY,155,0.8839,0.0903,0.0258,0.0000,
GRAND RAPIDS,FOREST LAKE EL.,69,0.8841,0.0000,0.1159,0.0000,
AITKIN,RIPPLESIDE EL.,95,0.8842,0.0842,0.0316,0.0000,
ST. LOUIS PARK,TORAH ACADEMY,26,0.8846,0.0000,0.1154,0.0000,
ULEN-HITTERDAL,ULEN-HITTERDAL EL.,26,0.8846,0.1154,0.0000,0.0000,
MINNEAPOLIS,LUCY CRAFT LANEY,70,0.8857,0.1143,0.0000,0.0000,
LITCHFIELD,LAKE RIPLEY EL.,123,0.8862,0.0569,0.0569,0.0000,
BRAINERD,NISSWA EL.,44,0.8864,0.0227,0.0909,0.0000,
ALBERT LEA,ST THEODORES EL,9,0.8889,0.1111,0.0000,0.0000,
ANOKA-HENNEPIN,DAYTON EL.,72,0.8889,0.1111,0.0000,0.0000,
EDINA,GOLDEN YEARS MONTESSORI,27,0.8889,0.1111,0.0000,0.0000,
ELK RIVER,MARY QUEEN OF PEACE CATHOLIC SCHOOL,9,0.8889,0.0000,0.1111,0.0000,
FOREST LAKE,MONTESSORI PROGRAM,18,0.8889,0.0000,0.1111,0.0000,
GRYGLA,GRYGLA EL.,9,0.8889,0.0000,0.1111,0.0000,
HOWARD LAKE-WAVERLY-WINSTED,ST JAMES LUTHERAN,9,0.8889,0.1111,0.0000,0.0000,
MINNEAPOLIS,PILLSBURY EL.,63,0.8889,0.0476,0.0635,0.0000,
NEW PRAGUE AREA SCHOOLS,ST WENCESLAUS,18,0.8889,0.0000,0.1111,0.0000,
ROCHESTER,ROCHESTER CENTRAL LUTHERAN,27,0.8889,0.1111,0.0000,0.0000,
ROCORI,ST BONIFACE,27,0.8889,0.0000,0.1111,0.0000,
ST. CLOUD,ALL SAINTS ACADEMY - ST. JOSEPH,18,0.8889,0.1111,0.0000,0.0000,
ST. CLOUD,TALAHI COMMUNITY EL.,90,0.8889,0.1111,0.0000,0.0000,
ST. LOUIS PARK,MINNEAPOLIS JEWISH DAY SCHOOL,18,0.8889,0.0000,0.1111,0.0000,
ST. PAUL,JEAN LYLE CHILDRENS CENTER,9,0.8889,0.0000,0.1111,0.0000,
ANOKA-HENNEPIN,MONROE EL.,82,0.8902,0.0854,0.0244,0.0000,
HIAWATHA LEADERSHIP ACADEMY,HIAWATHA LEADERSHIP ACADEMY-MORRIS PARK,55,0.8909,0.1091,0.0000,0.0000,
ST. PAUL,CROSSROADS SCIENCE,46,0.8913,0.0870,0.0217,0.0000,
MINNEAPOLIS,HALL EL.,37,0.8919,0.1081,0.0000,0.0000,
MINNEAPOLIS,LORING EL.,74,0.8919,0.0811,0.0270,0.0000,
FOREST LAKE,SCANDIA EL.,56,0.8929,0.0000,0.0893,0.0179,
ATHLOS LEADERSHIP ACADEMY,ATHLOS LEADERSHIP ACADEMY,103,0.8932,0.0971,0.0097,0.0000,
RANDOLPH,RANDOLPH EL.,47,0.8936,0.0000,0.1064,0.0000,
ST. PAUL,JOHN A. JOHNSON,66,0.8939,0.1061,0.0000,0.0000,
NORTH ST PAUL-MAPLEWOOD,ST PETER,19,0.8947,0.0000,0.1053,0.0000,
SWANVILLE,SWANVILLE EL.,19,0.8947,0.0000,0.1053,0.0000,
WILLMAR,COMMUNITY CHRISTIAN,19,0.8947,0.1053,0.0000,0.0000,
FAIRMONT AREA SCHOOLS,FAIRMONT ELEMENTARY,105,0.8952,0.0857,0.0190,0.0000,
BRECKENRIDGE,BRECKENRIDGE EL.,48,0.8958,0.1042,0.0000,0.0000,
A.C.G.C.,A.C.G.C. EL.,58,0.8966,0.0517,0.0517,0.0000,
PINE CITY,PINE CITY ELEM2,107,0.8972,0.0374,0.0561,0.0093,
MINNEAPOLIS,CARONDELET CATHOLIC,39,0.8974,0.0256,0.0769,0.0000,
ROSEVILLE,E.D. WILLIAMS EL.,78,0.8974,0.0769,0.0256,0.0000,
ST. CLOUD,WESTWOOD EL.,78,0.8974,0.0769,0.0256,0.0000,
URBAN ACADEMY CHARTER SCHOOL,URBAN ACADEMY CHARTER SCHOOL,39,0.8974,0.1026,0.0000,0.0000,
SHAKOPEE,EAGLE CREEK,127,0.8976,0.0551,0.0472,0.0000,
WINONA AREA PUBLIC SCHOOLS,WINONA AREA CATHOLIC,49,0.8980,0.0816,0.0000,0.0204,
BEMIDJI,PAUL BUNYAN ELEMENTARY,226,0.8982,0.0619,0.0398,0.0000,
BUFFALO,PARKSIDE EL.,59,0.8983,0.0169,0.0847,0.0000,
MINNEAPOLIS,NORTHROP EL.,79,0.8987,0.0886,0.0127,0.0000,
ROCHESTER,CHURCHILL EL.,79,0.8987,0.0000,0.1013,0.0000,
ROSEVILLE,LITTLE CANADA EL.,79,0.8987,0.1013,0.0000,0.0000,
ALBERT LEA,SIBLEY EL.,70,0.9000,0.0857,0.0143,0.0000,
HENNING,HENNING SCHOOL,30,0.9000,0.0667,0.0333,0.0000,
HOPKINS,GATEWOOD EL.,70,0.9000,0.0429,0.0571,0.0000,
MANKATO,BRIDGES ELEMENTARY,40,0.9000,0.0000,0.1000,0.0000,
NORMAN COUNTY WEST,NORMAN CTY. W. EL.,10,0.9000,0.1000,0.0000,0.0000,
ROBBINSDALE,NOBLE EL.,50,0.9000,0.0200,0.0800,0.0000,
ROCORI,ROCKVILLE EL.,20,0.9000,0.1000,0.0000,0.0000,
SCHOOLCRAFT LEARNING COMMUNITY,SCHOOLCRAFT LEARNING COMMUNITY,20,0.9000,0.0500,0.0500,0.0000,
SEVEN HILLS CLASSICAL ACADEMY,SEVEN HILLS PREPATORY ACADEMY - LOWER,100,0.9000,0.0200,0.0800,0.0000,
SOJOURNER TRUTH ACADEMY,SOJOURNER TRUTH ACADEMY,30,0.9000,0.1000,0.0000,0.0000,
SOUTH WASHINGTON COUNTY,NEW LIFE ACADEMY,30,0.9000,0.0000,0.0667,0.0333,
SPRINGFIELD,ST RAPHAEL,10,0.9000,0.0000,0.1000,0.0000,
ST. PAUL,HILL MONTESSORI,90,0.9000,0.0556,0.0444,0.0000,
ST. PAUL,ST. PASCAL BAYLON,10,0.9000,0.1000,0.0000,0.0000,
STILLWATER,ST CROIX CATHOLIC,30,0.9000,0.0000,0.1000,0.0000,
ST. CLOUD,MADISON EL.,121,0.9008,0.0826,0.0165,0.0000,
OSSEO,CEDAR ISLAND EL.,71,0.9014,0.0000,0.0986,0.0000,
BLACKDUCK,BLACKDUCK PUBLIC SCHOOL,51,0.9020,0.0000,0.0980,0.0000,
ST. PAUL,GALTIER,51,0.9020,0.0784,0.0196,0.0000,
ROCKFORD,ROCKFORD EL.,133,0.9023,0.0226,0.0752,0.0000,
MINNEAPOLIS,GREEN CENTRAL PARK,41,0.9024,0.0976,0.0000,0.0000,
ST. PAUL,ST. PAUL ACADEMY - SUMMIT (LOWER),41,0.9024,0.0488,0.0244,0.0244,
HOPKINS,GOOD SHEPHERD CATHOLIC SCHOOL,31,0.9032,0.0000,0.0968,0.0000,
ST. PAUL,WELLSTONE,93,0.9032,0.0968,0.0000,0.0000,
ANOKA-HENNEPIN,EPIPHANY EDUC CENTER,42,0.9048,0.0000,0.0952,0.0000,
LEROY,LEROY - OSTRANDER PUBLIC SCHOOLS,21,0.9048,0.0000,0.0952,0.0000,
NEW YORK MILLS,NEW YORK MILLS PUBLIC SCHOOLS,63,0.9048,0.0317,0.0635,0.0000,
ROCHESTER,HOLY SPIRIT,21,0.9048,0.0000,0.0952,0.0000,
SEBEKA,SEBEKA EL.,42,0.9048,0.0000,0.0952,0.0000,
ST. MICHAEL-ALBERTVILLE,ST MICHAEL CATHOLIC SCHOOL,42,0.9048,0.0000,0.0952,0.0000,
ST. PAUL,SUNNY HOLLOW MONTESSORI,21,0.9048,0.0476,0.0476,0.0000,
STILLWATER,LAKE ELMO EL.,105,0.9048,0.0381,0.0571,0.0000,
ACADEMIA CESAR CHAVEZ CHARTER SCH,ACADEMIA CESAR CHAVEZ CHARTER SCH,53,0.9057,0.0943,0.0000,0.0000,
EVELETH-GILBERT,FRANKLIN EL.,53,0.9057,0.0000,0.0943,0.0000,
MESABI EAST,MESABI EAST EL.,64,0.9063,0.0469,0.0313,0.0156,
BAGLEY,BAGLEY EL.,75,0.9067,0.0667,0.0267,0.0000,
BUFFALO,HANOVER EL.,75,0.9067,0.0000,0.0933,0.0000,
MINNEAPOLIS,WEBSTER,75,0.9067,0.0533,0.0400,0.0000,
KIMBALL,KIMBALL EL.,43,0.9070,0.0000,0.0000,0.0930,
MINNEAPOLIS,HOPE ACADEMY,43,0.9070,0.0930,0.0000,0.0000,
PAYNESVILLE,PAYNESVILLE EL.,43,0.9070,0.0465,0.0465,0.0000,
BURNSVILLE,EDWARD NEILL EL.,65,0.9077,0.0154,0.0769,0.0000,
WEST ST. PAUL-MENDOTA HTS.-EAGAN,MORELAND EL.,76,0.9079,0.0263,0.0132,0.0526,
COLLEGE PREP ELEMENTARY,COLLEGE PREP ELEMENTARY,44,0.9091,0.0909,0.0000,0.0000,
GOODHUE,ST JOHNS LUTHERAN-GOODHUE,11,0.9091,0.0909,0.0000,0.0000,
LITCHFIELD,ST PHILIP,11,0.9091,0.0000,0.0909,0.0000,
MANKATO,IMMANUEL LUTHERAN,11,0.9091,0.0909,0.0000,0.0000,
NERSTRAND CHARTER SCHOOL,NERSTRAND CHARTER SCHOOL,22,0.9091,0.0455,0.0455,0.0000,
